txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0.08690278,47,0.18010616,75
0.08690654,47,0.183991248,47
0.0869103,47,0.184328128,1499
0.08691406,47,0.189522048,47
0.08691782,47,0.189841968,1499
0.08692158,47,0.195039648,47
0.08692534,47,0.195359568,1499
0.0869291,47,0.20010616,75
0.08693286,47,0.20050992,47
0.08693662,47,0.20082984,1499
0.08694038,47,0.206074848,47
0.08694414,47,0.206414528,1499
0.0869479,47,0.211615968,47
0.08695166,47,0.211935888,1499
0.08695542,47,0.217133568,47
0.08695918,47,0.217453488,1499
0.08696294,47,0.22010616,75
0.0869667,47,0.222651168,47
0.08697046,47,0.222971088,1499
0.08697422,47,0.228168768,47
0.08697798,47,0.228408448,1499
0.08698174,47,0.233709888,47
0.0869855,47,0.233929808,1499
0.08698926,47,0.239227488,47
0.08699302,47,0.239447408,1499
0.08699678,47,0.24010616,75
0.08700054,47,0.2404117792,1499
0.0870043,47,0.2405354592,1499
0.08700806,47,0.2406591392,1499
0.08701182,47,0.2407828192,1499
0.08701558,47,0.2409027392,1499
0.08701934,47,0.2410301792,1499
0.0870231,47,0.2411538592,1499
0.08702686,47,0.2412775392,1499
0.08703062,47,0.2414012192,1499
0.08703438,47,0.2415248992,1499
0.08703814,47,0.2416485792,1499
0.0870419,47,0.2417722592,1499
0.08704566,47,0.2419156992,1499
0.08704942,47,0.2420356192,1499
0.08705318,47,0.2421555392,1499
0.08705694,47,0.2422754592,1499
0.0870607,47,0.2423953792,1499
0.08706446,47,0.2425152992,1499
0.08706822,47,0.2426380192,1499
0.08707198,47,0.2427616992,1499
0.08707574,47,0.2428853792,1499
0.0870795,47,0.2430052992,1499
0.08708326,47,0.2431327392,1499
0.08708702,47,0.2432564192,1499
0.08709078,47,0.2433800992,1499
0.08709454,47,0.2435037792,1499
0.0870983,47,0.2436274592,1499
0.08710206,47,0.2437511392,1499
0.08710582,47,0.2438748192,1499
0.08710958,47,0.2440182592,1499
0.08711334,47,0.2441381792,1499
0.0871171,47,0.2442580992,1499
0.08712086,47,0.2443780192,1499
0.08712462,47,0.2444979392,1499
0.08712838,47,0.2446178592,1499
0.08713214,47,0.2447377792,1499
0.0871359,47,0.2448576992,1499
0.08713966,47,0.2448614592,47
0.08714342,47,0.2449813792,1499
0.08714718,47,0.2451012992,1499
0.08715094,47,0.2452212192,1499
0.0871547,47,0.2453411392,1499
0.08715846,47,0.2454610592,1499
0.08716222,47,0.2455809792,1499
0.08716598,47,0.2457008992,1499
0.08716974,47,0.2458208192,1499
0.0871735,47,0.2459407392,1499
0.08717726,47,0.2460606592,1499
0.08718102,47,0.2461805792,1499
0.08718478,47,0.2463004992,1499
0.08718854,47,0.2464204192,1499
0.0871923,47,0.2465403392,1499
0.08719606,47,0.2466602592,1499
0.08719982,47,0.2467801792,1499
0.08720358,47,0.2469000992,1499
0.08720734,47,0.2470200192,1499
0.0872111,47,0.2471399392,1499
0.08721486,47,0.2472598592,1499
0.08721862,47,0.2473797792,1499
0.08722238,47,0.2474996992,1499
0.08722614,47,0.2476196192,1499
0.0872299,47,0.2477395392,1499
0.08723366,47,0.2478594592,1499
0.08723742,47,0.2479793792,1499
0.08724118,47,0.2480992992,1499
0.08724494,47,0.2482192192,1499
0.0872487,47,0.2483391392,1499
0.08725246,47,0.2484590592,1499
0.08725622,47,0.2485789792,1499
0.08725998,47,0.2486988992,1499
0.08726374,47,0.2488188192,1499
0.0872675,47,0.2489387392,1499
0.08727126,47,0.2490586592,1499
0.08727502,47,0.2491785792,1499
0.08727878,47,0.2492984992,1499
0.08728254,47,0.2494184192,1499
0.0872863,47,0.2495383392,1499
0.08729006,47,0.2496582592,1499
0.08729382,47,0.2497781792,1499
0.08729758,47,0.2498980992,1499
0.08730134,47,0.2500180192,1499
0.0873051,47,0.2501379392,1499
0.08730886,47,0.2502578592,1499
0.08731262,47,0.2503777792,1499
0.08731638,47,0.2503815392,47
0.08732014,47,0.2505014592,1499
0.0873239,47,0.2506213792,1499
0.08732766,47,0.2507412992,1499
0.08733142,47,0.2508612192,1499
0.08733518,47,0.2509811392,1499
0.08733894,247,0.2511010592,1499
0.0873587,47,0.2512209792,1499
0.08736246,247,0.2513408992,1499
0.08738222,47,0.2514608192,1499
0.08738598,247,0.2515807392,1499
0.08740574,47,0.2517006592,1499
