numActiveSessions:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[0].tcp.conn-511 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,0.810931708007,47,0.816236937228,1499,,,0.826996141607,0.477081174744000023,,
,,,,,,,,,,,,0.816236937228,47,0.821586191359,1499,,,0.832331017217,0.482416050353999924,,
,,,,,,,,,,,,0.821586191359,47,0.826996141607,1499,,,0.837698905585,0.487783938721999986,,
,,,,,,,,,,,,0.826996141607,47,0.832331017217,1499,,,0.843017657276,0.49310269041299992,,
,,,,,,,,,,,,0.832331017217,47,0.837698905585,1499,,,0.84845038341,0.498535416546999953,,
,,,,,,,,,,,,0.837698905585,47,0.843017657276,1499,,,0.853767027159,0.503852060295999934,,
,,,,,,,,,,,,0.843017657276,47,0.84845038341,1499,,,0.859171920206,0.509256953343000027,,
,,,,,,,,,,,,0.84845038341,47,0.853767027159,1499,,,0.864383875603,0.514468908739999839,,
,,,,,,,,,,,,0.853767027159,47,0.859171920206,1499,,,0.869827956536,0.519912989672999923,,
,,,,,,,,,,,,0.859171920206,47,0.864383875603,1499,,,0.875146070017,0.52523110315400001,,
,,,,,,,,,,,,0.864383875603,47,0.869827956536,1499,,,0.880574116265,0.530659149401999872,,
,,,,,,,,,,,,0.869827956536,47,0.875146070017,1499,,,0.885937337607,0.536022370743999941,,
,,,,,,,,,,,,0.875146070017,47,0.880574116265,1499,,,0.891240690723,0.541325723859999994,,
,,,,,,,,,,,,0.880574116265,47,0.885937337607,1499,,,0.896575821228,0.546660854365000001,,
,,,,,,,,,,,,0.885937337607,47,0.891240690723,1499,,,0.901988733806,0.55207376694300003,,
,,,,,,,,,,,,0.891240690723,47,0.896575821228,1499,,,0.907239364972,0.557324398108999916,,
,,,,,,,,,,,,0.896575821228,47,0.901988733806,1499,,,0.912570470154,0.562655503290999889,,
,,,,,,,,,,,,0.901988733806,47,0.907239364972,1499,,,0.917936590385,0.568021623521999916,,
,,,,,,,,,,,,0.907239364972,47,0.912570470154,1499,,,0.923353389328,0.573438422464999983,,
,,,,,,,,,,,,0.912570470154,47,0.917936590385,1499,,,0.92891894741,0.579003980546999971,,
,,,,,,,,,,,,0.917936590385,47,0.923353389328,1499,,,0.934125511159,0.584210544295999941,,
,,,,,,,,,,,,0.923353389328,47,0.92891894741,1499,,,0.939404804206,0.589489837342999975,,
,,,,,,,,,,,,0.92891894741,47,0.934125511159,1499,,,0.944766854928,0.594851888064999998,,
,,,,,,,,,,,,0.934125511159,47,0.939404804206,1499,,,0.950086760536,0.600171793672999995,,
,,,,,,,,,,,,0.939404804206,47,0.944766854928,1499,,,0.955429907617,0.605514940753999916,,
,,,,,,,,,,,,0.944766854928,47,0.950086760536,1499,,,0.960812841865,0.610897875001999988,,
,,,,,,,,,,,,0.950086760536,47,0.955429907617,1499,,,0.966169022407,0.616254055543999921,,
,,,,,,,,,,,,0.955429907617,47,0.960812841865,1499,,,0.971599494723,0.621684527859999833,,
,,,,,,,,,,,,0.960812841865,47,0.966169022407,1499,,,0.976836471444,0.62692150458099993,,
,,,,,,,,,,,,0.966169022407,47,0.971599494723,1499,,,0.982347537806,0.632432570942999868,,
,,,,,,,,,,,,0.971599494723,47,0.976836471444,1499,,,1.062669877806,0.712754910943000028,,
,,,,,,,,,,,,0.976836471444,47,0.982347537806,1499,,,1.142884811829,0.040190256422999989,,
,,,,,,,,,,,,0.982347537806,47,1.062669877806,1311,,,1.143004731829,0.040310176422999999,,
,,,,,,,,,,,,1.062669877806,47,1.142753275829,47,,,1.148450836948,0.045756281541999996,,
,,,,,,,,,,,,1.062670253806,247,1.142884811829,1499,,,1.152160436948,0.049465881541999989,,
,,,,,,,,,,,,1.142884811829,47,1.143004731829,1499,,,1.157767173359,0.055072617953000002,,
,,,,,,,,,,,,1.143004731829,47,1.148450836948,1499,,,1.162726750021,0.060032194614999992,,
,,,,,,,,,,,,1.148450836948,47,1.152160436948,1499,,,1.1688854872,0.066190931793999985,,
,,,,,,,,,,,,1.152160436948,47,1.157767173359,1499,,,1.1734708472,0.070776291793999995,,
,,,,,,,,,,,,1.157767173359,47,1.162726750021,1499,,,1.1793658064,0.076671250993999989,,
,,,,,,,,,,,,1.162726750021,47,1.1688854872,1499,,,1.1841424472,0.081447891793999998,,
,,,,,,,,,,,,1.1688854872,47,1.1734708472,1499,,,1.1902646072,0.087570051793999986,,
,,,,,,,,,,,,1.1734708472,47,1.1793658064,1499,,,1.1949960472,0.092301491793999989,,
,,,,,,,,,,,,1.1793658064,47,1.1841424472,1499,,,1.2005710872,0.097876531793999993,,
,,,,,,,,,,,,1.1841424472,47,1.1902646072,1499,,,1.2057923672,0.103097811793999987,,
,,,,,,,,,,,,1.1902646072,47,1.1949960472,1499,,,1.2109849272,0.108290371794,,
,,,,,,,,,,,,1.1949960472,47,1.2005710872,1499,,,1.2162376472,0.113543091793999988,,
,,,,,,,,,,,,1.2005710872,47,1.2057923672,1499,,,1.2219354072,0.119240851793999985,,
,,,,,,,,,,,,1.2057923672,47,1.2109849272,1499,,,1.2270298072,0.124335251793999984,,
,,,,,,,,,,,,1.2109849272,47,1.2162376472,1499,,,1.2330702872,0.13037573179399997,,
,,,,,,,,,,,,1.2162376472,47,1.2219354072,1499,,,1.2379452472,0.13525069179400001,,
,,,,,,,,,,,,1.2219354072,47,1.2270298072,1499,,,1.2434016472,0.140707091793999982,,
